-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90
341,438,579,747,1265,1982,3350,4489,5393,5836,6967,8171,7839,6457,4691,2430,1547,934,645
336,448,594,798,1275,2076,3246,4392,5417,5884,6998,8039,7860,6492,4556,2399,1545,935,617
338,497,564,780,1295,2023,3215,4368,5211,5878,6877,8124,7898,6546,4694,2394,1588,948,606
320,418,568,824,1358,2011,3321,4445,5465,5836,6905,8324,8028,6478,4690,2498,1586,874,647
309,450,596,797,1341,2015,3288,4369,5258,5831,6901,8027,7966,6522,4716,2439,1628,938,633
,,,,,,,,,,,,,,,,,,
798,1188,1707,2917,4971,7858,8825,7822,5502,4085,2955,1774,1096,702,530,478,457,364,295
829,1150,1674,2865,5105,7877,8836,7639,5452,4093,2968,1741,1148,697,526,430,470,344,322
788,1148,1736,2883,5119,7918,8816,7643,5524,4072,2917,1707,1109,698,579,488,403,360,285
851,1183,1682,2819,5000,7636,8861,7544,5532,4101,2957,1692,1155,650,531,455,431,338,287
824,1157,1714,2880,5036,7908,8739,7627,5432,4168,2984,1753,1182,670,513,539,424,356,277
