Voltage U1	Corriente IA
U1/V	IA/nA

0,02	0,59
0,04	0,52
0,07	0,58
0,09	0,57
0,12	0,67
0,14	0,54
0,17	0,64
0,19	0,57
0,21	0,73
0,24	0,65
0,26	0,74
0,29	0,55
0,31	0,70
0,34	0,57
0,36	0,77
0,39	0,60
0,41	0,74
0,43	0,57
0,46	0,75
0,48	0,59
0,51	0,79
0,53	0,61
0,56	0,77
0,58	0,57
0,61	0,77
0,63	0,58
0,65	0,75
0,68	0,55
0,70	0,70
0,73	0,52
0,75	0,72
0,78	0,53
0,80	0,68
0,83	0,50
0,85	0,64
0,87	0,48
0,90	0,67
0,92	0,48
0,95	0,61
0,97	0,47
1,00	0,58
1,02	0,47
1,05	0,63
1,07	0,47
1,09	0,57
1,12	0,43
1,14	0,54
1,17	0,47
1,19	0,59
1,22	0,47
1,24	0,54
1,26	0,44
1,29	0,53
1,31	0,50
1,34	0,57
1,36	0,51
1,39	0,55
1,41	0,47
1,44	0,54
1,46	0,53
1,48	0,55
1,51	0,56
1,53	0,53
1,56	0,53
1,58	0,56
1,61	0,62
1,63	0,64
1,66	0,72
1,68	0,62
1,70	0,65
1,73	0,59
1,75	0,69
1,78	0,62
1,80	0,70
1,83	0,53
1,85	0,61
1,88	0,53
1,90	0,72
1,92	0,60
1,95	0,73
1,97	0,55
2,00	0,71
2,02	0,60
2,05	0,79
2,07	0,59
2,10	0,76
2,12	0,55
2,14	0,74
2,17	0,59
2,19	0,77
2,22	0,58
2,24	0,77
2,27	0,57
2,29	0,77
2,31	0,58
2,34	0,74
2,36	0,56
2,39	0,70
2,41	0,51
2,44	0,72
2,46	0,52
2,49	0,66
2,51	0,49
2,53	0,65
2,56	0,50
2,58	0,66
2,61	0,47
2,63	0,59
2,66	0,45
2,68	0,57
2,71	0,46
2,73	0,60
2,75	0,49
2,78	0,58
2,80	0,46
2,83	0,56
2,85	0,49
2,88	0,58
2,90	0,51
2,93	0,54
2,95	0,45
2,97	0,54
3,00	0,52
3,02	0,59
3,05	0,56
3,07	0,55
3,10	0,53
3,12	0,58
3,15	0,59
3,17	0,61
3,19	0,63
3,22	0,60
3,24	0,59
3,27	0,58
3,29	0,67
3,32	0,64
3,34	0,71
3,36	0,60
3,39	0,64
3,41	0,58
3,44	0,73
3,46	0,62
3,49	0,75
3,51	0,58
3,54	0,70
3,56	0,62
3,58	0,78
3,61	0,65
3,63	0,81
3,66	0,62
3,68	0,80
3,71	0,65
3,73	0,84
3,76	0,68
3,78	0,85
3,80	0,62
3,83	0,82
3,85	0,63
3,88	0,82
3,90	0,63
3,93	0,78
3,95	0,57
3,98	0,78
4,00	0,58
4,02	0,75
4,05	0,55
4,07	0,70
4,10	0,53
4,12	0,74
4,15	0,53
4,17	0,69
4,20	0,53
4,22	0,65
4,24	0,51
4,27	0,69
4,29	0,54
4,32	0,66
4,34	0,50
4,37	0,64
4,39	0,56
4,42	0,69
4,44	0,58
4,46	0,64
4,49	0,53
4,51	0,65
4,54	0,59
4,56	0,67
4,59	0,61
4,61	0,64
4,63	0,58
4,66	0,65
4,68	0,63
4,71	0,67
4,73	0,66
4,76	0,64
4,78	0,60
4,81	0,64
4,83	0,70
4,85	0,72
4,88	0,77
4,90	0,71
4,93	0,73
4,95	0,73
4,98	0,85
5,00	0,79
5,03	0,87
5,05	0,74
5,07	0,80
5,10	0,76
5,12	0,91
5,15	0,78
5,17	0,91
5,20	0,74
5,22	0,88
5,25	0,78
5,27	0,95
5,29	0,80
5,32	0,95
5,34	0,74
5,37	0,93
5,39	0,77
5,42	0,96
5,44	0,78
5,47	0,94
5,49	0,73
5,51	0,92
5,54	0,71
5,56	0,91
5,59	0,72
5,61	0,87
5,64	0,67
5,66	0,89
5,68	0,72
5,71	0,90
5,73	0,70
5,76	0,87
5,78	0,70
5,81	0,90
5,83	0,74
5,86	0,88
5,88	0,71
5,90	0,86
5,93	0,71
5,95	0,90
5,98	0,75
6,00	0,83
6,03	0,69
6,05	0,81
6,08	0,72
6,10	0,85
6,12	0,76
6,15	0,81
6,17	0,73
6,20	0,84
6,22	0,81
6,25	0,88
6,27	0,85
6,30	0,89
6,32	0,85
6,34	0,91
6,37	0,94
6,39	0,98
6,42	1,02
6,44	0,98
6,47	0,95
6,49	0,97
6,52	1,04
6,54	1,02
6,56	1,12
6,59	1,02
6,61	1,08
6,64	1,03
6,66	1,17
6,69	1,13
6,71	1,23
6,73	1,04
6,76	1,16
6,78	1,07
6,81	1,24
6,83	1,12
6,86	1,23
6,88	1,05
6,91	1,22
6,93	1,08
6,95	1,29
6,98	1,14
