Voltage U1	Corriente IA
U1/V	IA/nA

0,02	0,35
0,04	0,35
0,07	0,49
0,09	0,49
0,12	0,62
0,14	0,49
0,17	0,65
0,19	0,49
0,21	0,62
0,24	0,47
0,26	0,59
0,29	0,50
0,31	0,62
0,34	0,50
0,36	0,56
0,39	0,43
0,41	0,55
0,43	0,48
0,46	0,57
0,48	0,51
0,51	0,54
0,53	0,51
0,56	0,58
0,58	0,55
0,61	0,61
0,63	0,58
0,65	0,56
0,68	0,52
0,70	0,52
0,73	0,57
0,75	0,57
0,78	0,60
0,80	0,55
0,83	0,57
0,85	0,54
0,87	0,68
0,90	0,64
0,92	0,74
0,95	0,61
0,97	0,68
1,00	0,60
1,02	0,77
1,05	0,62
1,07	0,75
1,09	0,55
1,12	0,70
1,14	0,59
1,17	0,79
1,19	0,62
1,22	0,78
1,24	0,59
1,26	0,79
1,29	0,63
1,31	0,81
1,34	0,62
1,36	0,78
1,39	0,57
1,41	0,76
1,44	0,56
1,46	0,73
1,48	0,54
1,51	0,69
1,53	0,52
1,56	0,74
1,58	0,54
1,61	0,70
1,63	0,53
1,66	0,67
1,68	0,51
1,70	0,68
1,73	0,49
1,75	0,62
1,78	0,46
1,80	0,59
1,83	0,47
1,85	0,62
1,88	0,50
1,90	0,59
1,92	0,46
1,95	0,56
1,97	0,48
2,00	0,61
2,02	0,52
2,05	0,57
2,07	0,47
2,10	0,54
2,12	0,53
2,14	0,60
2,17	0,53
2,19	0,56
2,22	0,50
2,24	0,56
2,27	0,60
2,29	0,60
2,31	0,63
2,34	0,61
2,36	0,60
2,39	0,60
2,41	0,69
2,44	0,66
2,46	0,75
2,49	0,61
2,51	0,65
2,53	0,58
2,56	0,72
2,58	0,62
2,61	0,74
2,63	0,56
2,66	0,70
2,68	0,59
2,71	0,77
2,73	0,63
2,75	0,79
2,78	0,58
2,80	0,75
2,83	0,61
2,85	0,80
2,88	0,63
2,90	0,79
2,93	0,59
2,95	0,77
2,97	0,59
3,00	0,78
3,02	0,59
3,05	0,74
3,07	0,54
3,10	0,74
3,12	0,56
3,15	0,71
3,17	0,53
3,19	0,67
3,22	0,51
3,24	0,70
3,27	0,49
3,29	0,63
3,32	0,47
3,34	0,59
3,36	0,45
3,39	0,62
3,41	0,46
3,44	0,56
3,46	0,43
3,49	0,54
3,51	0,46
3,54	0,61
3,56	0,48
3,58	0,54
3,61	0,43
3,63	0,52
3,66	0,48
3,68	0,55
3,71	0,48
3,73	0,53
3,76	0,48
3,78	0,55
3,80	0,57
3,83	0,60
3,85	0,61
3,88	0,58
3,90	0,55
3,93	0,58
3,95	0,63
3,98	0,60
4,00	0,69
4,02	0,57
4,05	0,62
4,07	0,58
4,10	0,68
4,12	0,62
4,15	0,73
4,17	0,56
4,20	0,70
4,22	0,60
4,24	0,77
4,27	0,65
4,29	0,77
4,32	0,57
4,34	0,74
4,37	0,58
4,39	0,78
4,42	0,60
4,44	0,76
4,46	0,59
4,49	0,78
4,51	0,60
4,54	0,80
4,56	0,60
4,59	0,76
4,61	0,55
4,63	0,75
4,66	0,57
4,68	0,72
4,71	0,52
4,73	0,69
4,76	0,52
4,78	0,73
4,81	0,53
4,83	0,67
4,85	0,51
4,88	0,65
4,90	0,48
4,93	0,67
4,95	0,48
4,98	0,60
5,00	0,45
5,03	0,55
5,05	0,44
5,07	0,58
5,10	0,44
5,12	0,53
5,15	0,41
5,17	0,50
5,20	0,46
5,22	0,56
5,25	0,49
5,27	0,54
5,29	0,47
5,32	0,55
5,34	0,55
5,37	0,60
5,39	0,59
5,42	0,58
5,44	0,53
5,47	0,56
5,49	0,57
5,51	0,58
5,54	0,62
5,56	0,55
5,59	0,58
5,61	0,55
5,64	0,66
5,66	0,66
5,68	0,75
5,71	0,61
5,73	0,69
5,76	0,61
5,78	0,76
5,81	0,64
5,83	0,74
5,86	0,56
5,88	0,67
5,90	0,56
5,93	0,75
5,95	0,59
5,98	0,74
6,00	0,55
6,03	0,73
6,05	0,60
6,08	0,80
6,10	0,60
6,12	0,78
6,15	0,58
6,17	0,76
6,20	0,58
6,22	0,73
6,25	0,53
6,27	0,69
6,30	0,50
6,32	0,72
6,34	0,53
6,37	0,68
6,39	0,53
6,42	0,67
6,44	0,52
6,47	0,70
6,49	0,49
6,52	0,63
6,54	0,48
6,56	0,60
6,59	0,49
6,61	0,63
6,64	0,49
6,66	0,60
6,69	0,46
6,71	0,56
6,73	0,48
6,76	0,59
6,78	0,51
6,81	0,56
6,83	0,45
6,86	0,54
6,88	0,51
6,91	0,58
6,93	0,55
6,95	0,55
6,98	0,49
